Created,Product_ID,Source,Sales_Agent,Delivery_Mode,Status,output
14-11-2018 10:05,9,Website,Sales-Agent-11,Mode-5,Open,1
14-11-2018 09:22,9,Website,Sales-Agent-10,Mode-5,Open,1
14-11-2018 09:21,9,Website,Sales-Agent-10,Mode-5,Open,1
14-11-2018 08:46,9,Website,Sales-Agent-10,Mode-5,Open,1
14-11-2018 07:34,9,Website,Sales-Agent-10,Mode-5,Open,1
14-11-2018 07:33,9,Website,Sales-Agent-10,Mode-5,Open,1
14-11-2018 05:58,9,Website,Sales-Agent-10,Mode-5,Open,1
14-11-2018 05:49,9,Website,Sales-Agent-10,Mode-5,Open,1
14-11-2018 05:40,9,Website,Sales-Agent-10,Mode-5,Open,1
14-11-2018 05:06,9,Website,Sales-Agent-10,Mode-5,Open,1
14-11-2018 05:03,9,Website,Sales-Agent-10,Mode-5,Open,1
14-11-2018 04:52,9,Website,Sales-Agent-10,Mode-5,Open,1
14-11-2018 02:37,9,Website,Sales-Agent-10,Mode-5,Open,1
13-11-2018 23:40,9,Website,Sales-Agent-10,Mode-5,Open,1
13-11-2018 21:14,9,Website,Sales-Agent-10,Mode-5,Open,1
13-11-2018 20:45,9,Website,Sales-Agent-10,Mode-5,Open,1
13-11-2018 20:15,9,Website,Sales-Agent-10,Mode-5,Open,1
13-11-2018 20:14,9,Website,Sales-Agent-10,Mode-5,Open,1
13-11-2018 18:51,9,Live Chat-Google Organic,Sales-Agent-3,Mode-1,Potential,1
13-11-2018 18:48,19,Call,Sales-Agent-4,Mode-5,Potential,1
13-11-2018 18:41,18,Website,Sales-Agent-10,Mode-5,Open,1
13-11-2018 18:25,18,Website,Sales-Agent-10,Mode-5,Open,1
13-11-2018 18:03,18,Website,Sales-Agent-10,Mode-5,Open,1
13-11-2018 17:25,18,Call,Sales-Agent-9,Mode-3,In Progress Positive,1
13-11-2018 17:09,18,Website,Sales-Agent-11,Mode-1,Potential,1
13-11-2018 16:49,15,Website,Sales-Agent-7,Mode-1,Not Responding,0
13-11-2018 16:37,18,Call,Sales-Agent-7,Mode-1,In Progress Positive,1
13-11-2018 16:35,18,Live Chat-Direct,Sales-Agent-9,Mode-3,Not Responding,0
13-11-2018 16:09,27,Call,Sales-Agent-11,Mode-5,In Progress Positive,1
13-11-2018 15:50,19,Live Chat-Direct,Sales-Agent-4,Mode-2,Potential,1
13-11-2018 15:30,19,Live Chat-Direct,Sales-Agent-4,Mode-4,Just Enquiry,0
13-11-2018 15:16,18,Call,Sales-Agent-7,Mode-1,Not Responding,0
13-11-2018 15:15,27,Live Chat-Direct,Sales-Agent-11,Mode-3,Potential,1
13-11-2018 14:11,9,By Recommendation,Sales-Agent-7,Mode-4,Potential,1
13-11-2018 13:53,9,Call,Sales-Agent-4,Mode-1,Potential,1
13-11-2018 13:52,9,Website,Sales-Agent-11,Mode-1,Potential,1
13-11-2018 13:34,19,Website,Sales-Agent-7,Mode-1,Junk Lead,0
13-11-2018 13:15,18,Live Chat-Google Organic,Sales-Agent-9,Mode-1,In Progress Positive,1
13-11-2018 12:50,5,Live Chat-Direct,Sales-Agent-7,Mode-3,In Progress Positive,1
13-11-2018 12:40,19,Live Chat-Direct,Sales-Agent-4,Mode-4,In Progress Positive,1
13-11-2018 12:26,9,Call,Sales-Agent-4,Mode-5,Potential,1
13-11-2018 12:15,9,Live Chat-Direct,Sales-Agent-11,Mode-3,Just Enquiry,0
13-11-2018 11:56,18,Call,Sales-Agent-9,Mode-1,Not Responding,0
13-11-2018 11:29,2,Call,Sales-Agent-9,Mode-5,In Progress Positive,1
13-11-2018 11:29,9,Call,Sales-Agent-11,Mode-5,In Progress Positive,1
13-11-2018 11:28,15,Call,Sales-Agent-11,Mode-5,Not Responding,0
13-11-2018 11:27,15,Call,Sales-Agent-7,Mode-5,Not Responding,0
13-11-2018 11:25,19,Live Chat-Direct,Sales-Agent-4,Mode-5,Not Responding,0
13-11-2018 11:20,15,Call,Sales-Agent-7,Mode-5,Not Responding,0
13-11-2018 11:15,3,Call,Sales-Agent-4,Mode-5,In Progress Positive,1
13-11-2018 11:10,18,Call,Sales-Agent-4,Mode-5,In Progress Positive,1
13-11-2018 11:09,15,Call,Sales-Agent-11,Mode-5,Potential,1
13-11-2018 11:09,9,Call,Sales-Agent-4,Mode-5,Just Enquiry,0
13-11-2018 11:08,15,Call,Sales-Agent-7,Mode-5,Not Responding,0
13-11-2018 11:08,9,Call,Sales-Agent-9,Mode-1,Potential,1
13-11-2018 11:07,19,Call,Sales-Agent-9,Mode-1,Potential,1
13-11-2018 11:00,9,Customer Referral,Sales-Agent-9,Mode-1,CONVERTED,1
13-11-2018 10:30,5,Live Chat-Direct,Sales-Agent-9,Mode-3,In Progress Positive,1
13-11-2018 10:18,27,Website,Sales-Agent-4,Mode-1,Potential,1
13-11-2018 09:21,18,Website,Sales-Agent-11,Mode-3,In Progress Negative,0
13-11-2018 09:00,9,Website,Sales-Agent-9,Mode-1,Potential,1
12-11-2018 22:33,18,Website,Sales-Agent-4,Mode-1,Potential,1
12-11-2018 20:30,19,Website,Sales-Agent-9,Mode-1,In Progress Positive,1
12-11-2018 20:28,19,Website,Sales-Agent-7,Mode-3,Just Enquiry,0
12-11-2018 19:43,19,Website,Sales-Agent-11,Mode-1,In Progress Positive,1
12-11-2018 18:55,15,Website,Sales-Agent-9,Mode-3,Just Enquiry,0
12-11-2018 18:38,19,Call,Sales-Agent-11,Mode-5,In Progress Positive,1
12-11-2018 18:16,19,Call,Sales-Agent-4,Mode-1,Potential,1
12-11-2018 17:55,27,Live Chat-Direct,Sales-Agent-4,Mode-3,Potential,1
12-11-2018 17:25,18,Live Chat-Blog,Sales-Agent-7,Mode-3,In Progress Positive,1
12-11-2018 17:23,18,Website,Sales-Agent-11,Mode-1,Potential,1
12-11-2018 15:25,9,Live Chat-Direct,Sales-Agent-9,Mode-3,In Progress Positive,1
12-11-2018 15:21,19,Website,Sales-Agent-11,Mode-1,In Progress Positive,1
12-11-2018 15:19,9,Call,Sales-Agent-7,Mode-1,In Progress Positive,1
12-11-2018 15:17,15,Call,Sales-Agent-9,Mode-5,Junk Lead,0
12-11-2018 15:16,15,Call,Sales-Agent-7,Mode-5,Not Responding,0
12-11-2018 15:15,15,Call,Sales-Agent-11,Mode-5,Junk Lead,0
12-11-2018 15:15,15,Call,Sales-Agent-4,Mode-5,Just Enquiry,0
12-11-2018 15:15,25,Live Chat-Direct,Sales-Agent-11,Mode-1,Not Responding,0
12-11-2018 15:08,10,Website,Sales-Agent-4,Mode-5,Potential,1
12-11-2018 14:31,18,Website,Sales-Agent-11,Mode-1,Not Responding,0
12-11-2018 14:30,9,Live Chat-Direct,Sales-Agent-9,Mode-1,In Progress Positive,1
12-11-2018 14:13,9,Call,Sales-Agent-4,Mode-2,In Progress Positive,1
12-11-2018 13:45,18,Live Chat -PPC,Sales-Agent-9,Mode-1,In Progress Positive,1
12-11-2018 13:41,19,Call,Sales-Agent-11,Mode-5,In Progress Positive,1
12-11-2018 13:35,18,Call,Sales-Agent-11,Mode-5,In Progress Positive,1
12-11-2018 13:17,15,Call,Sales-Agent-9,Mode-5,Not Responding,0
12-11-2018 13:17,9,Call,Sales-Agent-11,Mode-5,Potential,1
12-11-2018 13:16,15,Call,Sales-Agent-7,Mode-5,Junk Lead,0
12-11-2018 13:16,15,Call,Sales-Agent-11,Mode-5,Junk Lead,0
12-11-2018 13:15,15,Call,Sales-Agent-4,Mode-5,Not Responding,0
12-11-2018 13:14,15,Call,Sales-Agent-9,Mode-5,Junk Lead,0
12-11-2018 13:13,15,Call,Sales-Agent-7,Mode-5,In Progress Positive,1
12-11-2018 13:11,9,Call,Sales-Agent-9,Mode-5,In Progress Positive,1
12-11-2018 13:11,15,Call,Sales-Agent-4,Mode-5,Just Enquiry,0
12-11-2018 13:05,19,Live Chat-Direct,Sales-Agent-11,Mode-1,Potential,1
12-11-2018 13:01,27,Website,Sales-Agent-7,Mode-1,Junk Lead,0
12-11-2018 13:00,15,Call,Sales-Agent-3,Mode-5,Open,1
12-11-2018 12:10,18,Live Chat -PPC,Sales-Agent-7,Mode-1,In Progress Positive,1
12-11-2018 12:07,19,Customer Referral,Sales-Agent-9,Mode-1,CONVERTED,1
12-11-2018 11:15,19,Website,Sales-Agent-9,Mode-1,In Progress Positive,1
12-11-2018 10:50,18,Live Chat -PPC,Sales-Agent-4,Mode-1,Potential,1
12-11-2018 09:10,27,Live Chat-Direct,Sales-Agent-9,Mode-1,Not Responding,0
12-11-2018 08:48,18,Website,Sales-Agent-7,Mode-1,Potential,1
12-11-2018 07:10,18,Website,Sales-Agent-9,Mode-3,Junk Lead,0
11-11-2018 21:30,19,Website,Sales-Agent-9,Mode-3,Junk Lead,0
11-11-2018 20:30,5,Live Chat-Google Ads,Sales-Agent-9,Mode-3,Not Responding,0
11-11-2018 18:35,18,Website,Sales-Agent-9,Mode-3,In Progress Positive,1
11-11-2018 18:04,15,Website,Sales-Agent-9,Mode-1,Not Responding,0
11-11-2018 17:53,18,Website,Sales-Agent-9,Mode-1,In Progress Positive,1
11-11-2018 16:29,19,Call,Sales-Agent-9,Mode-1,In Progress Positive,1
11-11-2018 15:34,10,Website,Sales-Agent-9,Mode-3,In Progress Positive,1
11-11-2018 13:40,19,Live Chat-Direct,Sales-Agent-9,Mode-3,Potential,1
11-11-2018 13:35,19,Live Chat-Blog,Sales-Agent-9,Mode-1,In Progress Positive,1
11-11-2018 13:19,18,Live Chat-Direct,Sales-Agent-9,Mode-1,In Progress Positive,1
11-11-2018 13:17,18,Live Chat-Direct,Sales-Agent-9,Mode-1,In Progress Positive,1
11-11-2018 13:10,19,Live Chat-Direct,Sales-Agent-9,Mode-5,In Progress Positive,1
11-11-2018 13:03,18,Website,Sales-Agent-9,Mode-1,In Progress Positive,1
11-11-2018 12:35,5,Live Chat-Google Ads,Sales-Agent-9,Mode-5,Open,1
11-11-2018 11:55,19,Website,Sales-Agent-9,Mode-3,In Progress Positive,1
11-11-2018 11:55,20,Live Chat-Direct,Sales-Agent-11,Mode-3,Not Responding,0
11-11-2018 11:30,18,Live Chat-Direct,Sales-Agent-9,Mode-1,In Progress Positive,1
11-11-2018 10:20,18,Website,Sales-Agent-9,Mode-1,In Progress Positive,1
11-11-2018 10:08,18,Website,Sales-Agent-11,Mode-3,Potential,1
11-11-2018 09:53,5,Call,Sales-Agent-9,Mode-1,In Progress Positive,1
11-11-2018 09:52,19,Call,Sales-Agent-9,Mode-1,Potential,1
